as_of,ticker,group,subgroup,max_drawdown_252,max_drawdown_126,rebound_from_126d_low,current_drawdown_from_126d_high
2026-09-04,SPY,market,us_cap_weight,-0.08884968175523733,-0.06571737805716504,0.2218526297035417,-0.009885846651328634
2026-09-04,RSP,market,us_equal_weight,-0.0785228274077947,-0.04949346293910706,0.16896967023508336,-0.016923302958911646
2026-09-04,IWF,style,large_growth,-0.16274326487290647,-0.11353239924920955,0.20239158209723862,-0.04078064947223825
2026-09-04,IWD,style,large_value,-0.06785759179853912,-0.038877330771541097,0.234085982200815,-0.006746857764886927
2026-09-04,IWB,style,large,-0.08862083489536776,-0.06505603771421897,0.21838583622513408,-0.010656296248860775
2026-09-04,IWM,style,small,-0.11028499479488818,-0.053559543129884424,0.2383204051928065,-0.029761666004313847
2026-09-04,IWN,style,small_value,-0.08451594760193704,-0.04009211342498298,0.2287720056233693,-0.01235543969171915
2026-09-04,XLK,sector,technology,-0.1592270124446341,-0.1586266547077515,0.4706141832592181,-0.05401697694255492
2026-09-04,XLF,sector,financials,-0.14794754933580478,-0.045186566724875865,0.21948379239760563,-0.007855240580300515
2026-09-04,XLI,sector,industrials,-0.12213496124958889,-0.08125626575074685,0.12190299600435739,-0.0602648145698329
2026-09-04,XLE,sector,energy,-0.14976257968389606,-0.14976257968389606,0.21302775786316275,-0.015975436864883674
2026-09-04,XLB,sector,materials,-0.12383431462713779,-0.0643006791382712,0.12537578820047757,-0.02291782344326665
2026-09-04,XLY,sector,consumer_discretionary,-0.1497570246799147,-0.10718720577677543,0.08971209112510459,-0.05670173373789689
2026-09-04,XLP,sector,consumer_staples,-0.0968781421888324,-0.05443765744663198,0.05358900366425412,-0.032818698883272934
2026-09-04,XLV,sector,health_care,-0.10469911881615834,-0.07022426709537177,0.205587669089613,-0.024077845536717213
2026-09-04,XLU,sector,utilities,-0.10335655867994176,-0.09862872024039737,0.020127925598678598,-0.08048598618461045
2026-09-04,XLRE,sector,real_estate,-0.08331996157397181,-0.06284506944247914,0.10759698386240002,-0.045207522109036
2026-09-04,XLC,sector,communication_services,-0.1173276340746705,-0.11289549907904028,0.06310496962613299,-0.05691479649321729
2026-09-04,VT,global_market,world,-0.09673506577069524,-0.06098030266611476,0.20958523711113375,-0.00406431223960857
2026-09-04,VTI,region,us,-0.08918200178911007,-0.06468688869934558,0.22183752762711428,-0.011891691261522008
2026-09-04,VEA,region,developed_ex_us,-0.11626285369374745,-0.05812396768996975,0.19536112585034449,-0.0004065426063785127
2026-09-04,VWO,region,emerging_markets,-0.11167597387156636,-0.07054218470148221,0.17346470846925022,0.0
2026-09-04,VGK,region,europe,-0.12089221125939931,-0.060464655334974915,0.1744066165398257,-0.015559658114060237
2026-09-04,EWJ,region,japan,-0.13589447814118816,-0.07858103176918552,0.21692098233702373,-0.0019295464512120164
2026-09-04,EWY,region,south_korea,-0.34210762444527654,-0.34210762444527654,0.6221763688236586,-0.13836679860089707
2026-09-04,IXG,global_sector,financials,-0.11330486025569897,-0.045789637321902665,0.2555023857491101,-0.005839438333998581
