date,metric_code,metric,group,value,unit,source_series
1945-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,44653.0,$mn SAAR,BCNSDODNS
1946-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,49889.0,$mn SAAR,BCNSDODNS
1947-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.6,% annualized,H8B1020NCBCMG
1947-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.2,% annualized,H8B1020NCBCMG
1947-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.0,% annualized,H8B1020NCBCMG
1947-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,12.9,% annualized,H8B1020NCBCMG
1947-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,33.2,% annualized,H8B1020NCBCMG
1947-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,111.8,% annualized,H8B1020NCBCMG
1947-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.3,% annualized,H8B1020NCBCMG
1947-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.0,% annualized,H8B1020NCBCMG
1947-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.3,% annualized,H8B1020NCBCMG
1947-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,56781.0,$mn SAAR,BCNSDODNS
1947-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-2.3,% annualized,H8B1020NCBCMG
1947-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.0,% annualized,H8B1020NCBCMG
1948-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,15.9,% annualized,H8B1020NCBCMG
1948-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,20.1,% annualized,H8B1020NCBCMG
1948-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,24.2,% annualized,H8B1020NCBCMG
1948-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,23.7,% annualized,H8B1020NCBCMG
1948-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,21.2,% annualized,H8B1020NCBCMG
1948-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,18.7,% annualized,H8B1020NCBCMG
1948-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.2,% annualized,H8B1020NCBCMG
1948-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,4.1,% annualized,H8B1020NCBCMG
1948-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.0,% annualized,H8B1020NCBCMG
1948-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.0,% annualized,H8B1020NCBCMG
1948-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,62811.0,$mn SAAR,BCNSDODNS
1948-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,0.0,% annualized,H8B1020NCBCMG
1948-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,2.0,% annualized,H8B1020NCBCMG
1949-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,10.1,% annualized,H8B1020NCBCMG
1949-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,14.0,% annualized,H8B1020NCBCMG
1949-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.8,% annualized,H8B1020NCBCMG
1949-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,15.6,% annualized,H8B1020NCBCMG
1949-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.5,% annualized,H8B1020NCBCMG
1949-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,13.4,% annualized,H8B1020NCBCMG
1949-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,3.8,% annualized,H8B1020NCBCMG
1949-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-3.8,% annualized,H8B1020NCBCMG
1949-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-5.7,% annualized,H8B1020NCBCMG
1949-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-7.6,% annualized,H8B1020NCBCMG
1949-10-01,corp_debt_level,비금융기업 Debt Securities + Loans,Broad credit,64395.0,$mn SAAR,BCNSDODNS
1949-11-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-5.7,% annualized,H8B1020NCBCMG
1949-12-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,-5.8,% annualized,H8B1020NCBCMG
1950-01-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,7.7,% annualized,H8B1020NCBCMG
1950-02-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,19.1,% annualized,H8B1020NCBCMG
1950-03-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,20.7,% annualized,H8B1020NCBCMG
1950-04-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,18.5,% annualized,H8B1020NCBCMG
1950-05-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,16.4,% annualized,H8B1020NCBCMG
1950-06-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,16.2,% annualized,H8B1020NCBCMG
1950-07-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,19.5,% annualized,H8B1020NCBCMG
1950-08-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,22.7,% annualized,H8B1020NCBCMG
1950-09-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,20.6,% annualized,H8B1020NCBCMG
1950-10-01,bank_loan_growth,은행 Loans & Leases 증가율,신용량,16.9,% annualized,H8B1020NCBCMG
