as_of,ticker,sector,benchmark,return_21,excess_21,freq_21,magnitude_21,return_63,excess_63,freq_63,magnitude_63,return_126,excess_126,freq_126,magnitude_126,rank_21,rank_63,rank_126,rank_change_21_vs_63,trend_label
2026-08-27,IXN,technology,VT,0.13682369982171338,0.07539940584894511,0.5714285714285714,0.0034412775913196247,0.010475395525268327,-0.016658854237097787,0.47619047619047616,-2.1452612839274323e-05,0.31568451545400866,0.2204383029645023,0.5793650793650794,0.001626776884406622,1,7,1,6,EMERGING
2026-08-27,MXI,materials,VT,0.11145892813590774,0.05003463416313947,0.5714285714285714,0.0022699183542160615,0.04834285549677553,0.021208605734409414,0.49206349206349204,0.000387890689167389,0.02226555370404948,-0.0729806587854569,0.48412698412698413,-0.00047689288526033544,2,4,6,2,NEUTRAL
2026-08-27,EXI,industrials,VT,0.041373268926998774,-0.0200510250457695,0.5714285714285714,-0.0008941160657055472,0.03346479614508202,0.006330546382715907,0.5396825396825397,0.00011268126180081631,0.013327698244206543,-0.08191851424529983,0.4444444444444444,-0.0005879838410664308,3,5,7,2,NEUTRAL
2026-08-27,IXC,energy,VT,0.0388332019575206,-0.02259109201524767,0.42857142857142855,-0.000976572385064645,0.07405642516195732,0.046922175399591204,0.49206349206349204,0.0007583424086951588,0.133281311170931,0.03803509868142463,0.5,0.0003175374031266881,4,3,2,-1,NEUTRAL
2026-08-27,IXJ,health_care,VT,0.026749954657874664,-0.03467433931489361,0.47619047619047616,-0.0015487004018523987,0.11663443092020076,0.08950018115783465,0.5079365079365079,0.0013507371859929824,0.05774697082656699,-0.03749924166293939,0.4603174603174603,-0.0002696721239242213,5,2,4,-3,WEAKENING
2026-08-27,IXG,financials,VT,0.021111110981896886,-0.04031318299087139,0.38095238095238093,-0.0018558896252265419,0.1206601604530777,0.09352591069071159,0.5079365079365079,0.001373293175694677,0.11459365311543412,0.019347440625927748,0.48412698412698413,0.0001329631510226486,6,1,3,-5,WEAKENING
2026-08-27,RXI,consumer_discretionary,VT,0.017461622542011668,-0.043962671430756606,0.42857142857142855,-0.0020048808704829424,-0.020395169220675635,-0.04752941898304175,0.4126984126984127,-0.0007373364564435526,-0.03547327452786697,-0.13071948701737335,0.42063492063492064,-0.0009876266904067686,7,10,9,3,NEUTRAL
2026-08-27,IXP,communication_services,VT,0.011474267075097577,-0.049950026897670696,0.5238095238095238,-0.0022652934675590247,-0.061007487232990654,-0.08814173699535677,0.4444444444444444,-0.0014010551324012824,-0.030790060937775254,-0.12603627342728163,0.4365079365079365,-0.0009617342757182435,8,11,8,3,NEUTRAL
2026-08-27,JXI,utilities,VT,-0.02358831664694938,-0.08501261061971765,0.38095238095238093,-0.003986551897696785,-0.015330729341870408,-0.04246497910423652,0.4603174603174603,-0.0006809191003635608,-0.06488011320330322,-0.1601263256928096,0.4126984126984127,-0.0012623048451728292,9,9,11,0,NEUTRAL
2026-08-27,REET,real_estate,VT,-0.027545359383583157,-0.08896965335635143,0.38095238095238093,-0.004182135808850962,0.022842091530791198,-0.004292158231574916,0.49206349206349204,-7.715578774223459e-05,0.03430633235696279,-0.06093988013254359,0.4603174603174603,-0.0004688052202452416,10,6,5,-4,WEAKENING
2026-08-27,KXI,consumer_staples,VT,-0.02906558142412774,-0.09048987539689601,0.3333333333333333,-0.0042423105927663525,0.01001609128145109,-0.017118158480915024,0.42857142857142855,-0.00026022513314840164,-0.0470682398865121,-0.14231445237601847,0.3888888888888889,-0.0011098696799546222,11,8,10,-3,WEAKENING
