as_of,ticker,sector,benchmark,return_21,benchmark_return_21,excess_21,freq_21,magnitude_21,return_63,benchmark_return_63,excess_63,freq_63,magnitude_63,return_126,benchmark_return_126,excess_126,freq_126,magnitude_126,return_252,benchmark_return_252,excess_252,freq_252,magnitude_252,return_756,benchmark_return_756,excess_756,freq_756,magnitude_756,return_12_1,benchmark_return_12_1,excess_12_1,return_12_7,benchmark_return_12_7,excess_12_7,consistency_12m,monthly_rel_magnitude_12m,prior_drawdown_252_ex63,benchmark_prior_drawdown_252_ex63,benchmark_current_drawdown,rebound_63,benchmark_rebound_63,rank_21,rank_63,rank_126,rank_252,rank_756,rank_12_1,rank_12_7,rank_consistency_12m,rank_prior_drawdown,rank_rebound_63,bounce_flag_research,old_leader_failure_flag,rank_improvement_126_to_63
2020-09-30,IXN,technology,VT,-0.041130300012699794,-0.02931511150574584,-0.011815188506953955,0.5238095238095238,-0.00043791603630719385,0.11601632789926453,0.07626128868698867,0.039755039212275856,0.5873015873015873,0.0006547080193311736,0.5330292408879012,0.3565215076890762,0.17650773319882496,0.5952380952380952,0.0010350999814148318,0.4519239440932563,0.11285818149199889,0.3390657626012574,0.5952380952380952,0.0011467682441279436,0.9253137089650958,0.22778022545816645,0.6975334835069293,0.5753968253968254,0.0006583854265258195,0.5142035921173504,0.14646698911557876,0.3677366030017717,0.120305624651317,0.014517400674640468,0.10578822397667653,0.9166666666666666,0.02277738287108033,-0.3089130605100334,-0.34236190465864547,-0.047343801212675785,0.11601632789926453,0.07626128868698867,8,4,1,1,1,1,1,1,8,4,False,False,-3
2020-09-30,IXG,financials,VT,-0.052734906183657504,-0.02931511150574584,-0.023419794677911665,0.47619047619047616,-0.0011658143476926158,0.019626704435492526,0.07626128868698867,-0.056634584251496145,0.49206349206349204,-0.0008408890741166007,0.20898260107874345,0.3565215076890762,-0.14753890661033275,0.4523809523809524,-0.0008221417402628072,-0.13534763641182357,0.11285818149199889,-0.24820581790382246,0.42857142857142855,-0.000896458534446657,-0.13270128607060372,0.22778022545816645,-0.36048151152877017,0.43915343915343913,-0.0004202866587924304,-0.08721183834119317,0.14646698911557876,-0.23367882745677193,-0.030923689468906,0.014517400674640468,-0.04544109014354647,0.08333333333333333,-0.02111099320188047,-0.4177087350593638,-0.34236190465864547,-0.047343801212675785,0.019626704435492526,0.07626128868698867,9,9,7,9,10,9,7,11,3,9,False,False,-2
2020-09-30,EXI,industrials,VT,-0.006502431426847033,-0.02931511150574584,0.022812680078898806,0.6190476190476191,0.0011082419793546363,0.12059638153758057,0.07626128868698867,0.044335092850591895,0.49206349206349204,0.0006544259227619232,0.39406598384062574,0.3565215076890762,0.037544476151549544,0.4603174603174603,0.0002683066969690948,0.053759191174733045,0.11285818149199889,-0.05909899031726584,0.4603174603174603,-0.00018965616842258728,0.10913953716980851,0.22778022545816645,-0.11864068828835794,0.4880952380952381,-0.00012076835979815711,0.06065603430527444,0.14646698911557876,-0.08581095481030432,-0.01788229738106939,0.014517400674640468,-0.03239969805570986,0.5,-0.004842839406683693,-0.3955999118921103,-0.34236190465864547,-0.047343801212675785,0.12059638153758057,0.07626128868698867,3,2,4,6,8,6,5,5,4,2,True,False,2
2020-09-30,IXC,energy,VT,-0.1372962434100874,-0.02931511150574584,-0.10798113190434155,0.2857142857142857,-0.005556824755212126,-0.15025910978504786,0.07626128868698867,-0.22652039847203653,0.3968253968253968,-0.0036486657757626656,0.01984604181003502,0.3565215076890762,-0.3366754658790412,0.4523809523809524,-0.002015510904776549,-0.41605843017935695,0.11285818149199889,-0.5289166116713558,0.4126984126984127,-0.0022291865982574,-0.44683861810340053,0.22778022545816645,-0.674618843561567,0.4523809523809524,-0.0009259874632590676,-0.3231262002047588,0.14646698911557876,-0.46959318932033756,-0.15004102620396198,0.014517400674640468,-0.16455842687860245,0.16666666666666666,-0.050931627945566355,-0.5954343968810207,-0.34236190465864547,-0.047343801212675785,-0.15025910978504786,0.07626128868698867,11,11,11,11,11,11,11,9,1,11,False,False,0
2020-09-30,MXI,materials,VT,-0.0010010813302683275,-0.02931511150574584,0.02831403017547751,0.7142857142857143,0.0013924890346405517,0.11704489753203795,0.07626128868698867,0.04078360884504928,0.5555555555555556,0.0006122880800937505,0.47687603133947465,0.3565215076890762,0.12035452365039845,0.5793650793650794,0.0007108876865321975,0.1497160369907451,0.11285818149199889,0.036857855498746206,0.5079365079365079,0.00016138057415467858,0.15857133267421264,0.22778022545816645,-0.06920889278395381,0.49074074074074076,-5.393105975257371e-05,0.15086814960891903,0.14646698911557876,0.004401160493340273,-0.03430099863854719,0.014517400674640468,-0.048818399313187655,0.5833333333333334,0.0026984548432084456,-0.36912158339720513,-0.34236190465864547,-0.047343801212675785,0.11704489753203795,0.07626128868698867,2,3,3,4,7,5,9,2,5,3,False,False,0
2020-09-30,RXI,consumer_discretionary,VT,-0.009034049553869772,-0.02931511150574584,0.020281061951876067,0.5714285714285714,0.0009731924981992977,0.1302673762785389,0.07626128868698867,0.054006087591550234,0.5714285714285714,0.0007792869127255009,0.5012682385187439,0.3565215076890762,0.1447467308296677,0.5714285714285714,0.0008299246883781511,0.1469037201109371,0.11285818149199889,0.03404553861893822,0.4801587301587302,0.00012408846047337255,0.3880526879097628,0.22778022545816645,0.16027246245159632,0.5158730158730159,0.00017016857420818667,0.15735936193832312,0.14646698911557876,0.010892372822744356,-0.03572376600841887,0.014517400674640468,-0.050241166683059335,0.3333333333333333,0.0028806357336671196,-0.35654878945485124,-0.34236190465864547,-0.047343801212675785,0.1302673762785389,0.07626128868698867,4,1,2,5,2,4,10,7,6,1,False,False,1
2020-09-30,KXI,consumer_staples,VT,-0.013357068408663464,-0.02931511150574584,0.015958043097082375,0.5714285714285714,0.0007459286819913776,0.06867302768344219,0.07626128868698867,-0.0075882610035464815,0.5238095238095238,-0.00012985588451142941,0.1972516110790108,0.3565215076890762,-0.1592698966100654,0.46825396825396826,-0.001043716543921864,0.04036903100574185,0.11285818149199889,-0.07248915048625704,0.46825396825396826,-0.0003414457490283162,0.1731642809308438,0.22778022545816645,-0.05461594452732266,0.4748677248677249,-9.298122332235494e-05,0.054453437706943886,0.14646698911557876,-0.09201355140863487,-0.02464315554330998,0.014517400674640468,-0.03916055621795045,0.3333333333333333,-0.004535695825848923,-0.24587845664626584,-0.34236190465864547,-0.047343801212675785,0.06867302768344219,0.07626128868698867,5,5,8,7,6,7,6,7,11,5,False,False,3
2020-09-30,IXJ,health_care,VT,-0.01629930049156636,-0.02931511150574584,0.01301581101417948,0.6190476190476191,0.0006158334292525748,0.03861181462809471,0.07626128868698867,-0.03764947405889396,0.5079365079365079,-0.0005729585611548985,0.23307467832751994,0.3565215076890762,-0.12344682936155627,0.49206349206349204,-0.0007873865108038729,0.20669397349059104,0.11285818149199889,0.09383579199859216,0.5277777777777778,0.0002711317359658957,0.3526024942986834,0.22778022545816645,0.12482226884051695,0.5304232804232805,0.00011256707045622353,0.2266881319628924,0.14646698911557876,0.08022114284731363,0.07394949860220579,0.014517400674640468,0.05943209792756532,0.5833333333333334,0.007599931582543092,-0.27352234078428306,-0.34236190465864547,-0.047343801212675785,0.03861181462809471,0.07626128868698867,6,7,6,2,3,3,2,2,9,7,False,False,-1
2020-09-30,JXI,utilities,VT,-0.0001779330859114081,-0.02931511150574584,0.02913717841983443,0.47619047619047616,0.0013840312621858813,0.036948112330295935,0.07626128868698867,-0.039313176356692736,0.38095238095238093,-0.0005951679345844588,0.18898960241340257,0.3565215076890762,-0.16753190527567363,0.3968253968253968,-0.00103841422819227,-0.008543445271344652,0.11285818149199889,-0.12140162676334354,0.48412698412698413,-0.0004344598969585933,0.2191278196086539,0.22778022545816645,-0.008652405849512546,0.4828042328042328,-1.0120894263393347e-05,-0.008367000951732373,0.14646698911557876,-0.15483399006731113,0.042855116420516204,0.014517400674640468,0.028337715745875736,0.4166666666666667,-0.008032721617243962,-0.342019036654408,-0.34236190465864547,-0.047343801212675785,0.036948112330295935,0.07626128868698867,1,8,10,8,4,8,3,6,7,8,False,False,2
2020-09-30,REET,real_estate,VT,-0.029138611721022167,-0.02931511150574584,0.00017649978472367156,0.5714285714285714,4.3958538299061435e-05,-0.0031455571848044706,0.07626128868698867,-0.07940684587179314,0.49206349206349204,-0.0011902495149611967,0.19431471273502265,0.3565215076890762,-0.16220679495405355,0.46825396825396826,-0.0009043963770976005,-0.19961488016354134,0.11285818149199889,-0.31247306165554023,0.47619047619047616,-0.001215289599081391,-0.042138402826304655,0.22778022545816645,-0.2699186282844711,0.4894179894179894,-0.0003033991307368407,-0.17559279882859313,0.14646698911557876,-0.3220597879441719,-0.032265536206276146,0.014517400674640468,-0.046782936880916615,0.16666666666666666,-0.026470849429502907,-0.44590838340745165,-0.34236190465864547,-0.047343801212675785,-0.0031455571848044706,0.07626128868698867,7,10,9,10,9,10,8,9,2,10,False,False,-1
