date,area_code,cli,long_rate,short_rate,curve_spread,pmi,pmi_source,area
2018-01-01,BRA,102.3915,6.75,7.0,-0.25,,,브라질
2018-02-01,BRA,102.4833,6.75,6.81,-0.05999999999999961,,,브라질
2018-03-01,BRA,102.4566,6.75,6.67,0.08000000000000007,,,브라질
2018-04-01,BRA,102.3189,6.6,6.5,0.09999999999999964,,,브라질
2018-05-01,BRA,102.1071,6.6,6.5,0.09999999999999964,,,브라질
2018-06-01,BRA,101.8792,6.6,6.5,0.09999999999999964,,,브라질
2018-07-01,BRA,101.6957,6.56,6.5,0.05999999999999961,,,브라질
2018-08-01,BRA,101.5838,6.56,6.5,0.05999999999999961,,,브라질
2018-09-01,BRA,101.5576,6.56,6.5,0.05999999999999961,,,브라질
2018-10-01,BRA,101.6376,6.98,6.5,0.4800000000000004,,,브라질
2018-11-01,BRA,101.7967,6.98,6.5,0.4800000000000004,,,브라질
2018-12-01,BRA,101.9788,6.98,6.5,0.4800000000000004,,,브라질
2019-01-01,BRA,102.1364,7.03,6.5,0.5300000000000002,,,브라질
2019-02-01,BRA,102.2197,7.03,6.5,0.5300000000000002,,,브라질
2019-03-01,BRA,102.2308,7.03,6.5,0.5300000000000002,,,브라질
2019-04-01,BRA,102.2217,6.26,6.5,-0.2400000000000002,,,브라질
2019-05-01,BRA,102.2359,6.26,6.5,-0.2400000000000002,,,브라질
2019-06-01,BRA,102.3066,6.26,6.5,-0.2400000000000002,,,브라질
2019-07-01,BRA,102.4304,5.95,6.5,-0.5499999999999998,,,브라질
2019-08-01,BRA,102.5945,5.95,6.0,-0.04999999999999982,,,브라질
2019-09-01,BRA,102.7846,5.95,5.8,0.15000000000000036,,,브라질
2019-10-01,BRA,102.9602,5.57,5.48,0.08999999999999986,,,브라질
2019-11-01,BRA,103.0708,5.57,5.0,0.5700000000000003,,,브라질
2019-12-01,BRA,103.0368,5.57,4.68,0.8900000000000006,,,브라질
2020-01-01,BRA,102.8003,5.09,4.5,0.5899999999999999,,,브라질
2020-02-01,BRA,102.369,5.09,4.29,0.7999999999999998,,,브라질
2020-03-01,BRA,100.8682,5.09,4.04,1.0499999999999998,,,브라질
2020-04-01,BRA,93.1546,4.94,3.75,1.1900000000000004,,,브라질
2020-05-01,BRA,95.26189,4.94,3.15,1.7900000000000005,,,브라질
2020-06-01,BRA,100.5699,4.94,2.68,2.2600000000000002,,,브라질
2020-07-01,BRA,101.9782,4.91,2.25,2.66,,,브라질
2020-08-01,BRA,102.5123,4.91,2.04,2.87,,,브라질
2020-09-01,BRA,103.0629,4.91,2.0,2.91,,,브라질
2020-10-01,BRA,103.5375,4.55,2.0,2.55,,,브라질
2020-11-01,BRA,103.8832,4.55,2.0,2.55,,,브라질
2020-12-01,BRA,104.0725,4.55,2.0,2.55,,,브라질
2021-01-01,BRA,104.0869,4.39,2.0,2.3899999999999997,,,브라질
2021-02-01,BRA,103.9844,4.39,2.0,2.3899999999999997,,,브라질
2021-03-01,BRA,103.8695,4.39,2.34,2.05,,,브라질
2021-04-01,BRA,103.8203,4.61,2.75,1.8600000000000003,,,브라질
2021-05-01,BRA,103.8385,4.61,3.38,1.2300000000000004,,,브라질
2021-06-01,BRA,103.8592,4.61,3.85,0.7600000000000002,,,브라질
2021-07-01,BRA,103.7677,4.88,4.25,0.6299999999999999,,,브라질
2021-08-01,BRA,103.5062,4.88,5.12,-0.2400000000000002,,,브라질
2021-09-01,BRA,103.0868,4.88,5.52,-0.6399999999999997,,,브라질
2021-10-01,BRA,102.5693,5.32,6.44,-1.12,,,브라질
2021-11-01,BRA,102.0117,5.32,7.75,-2.4299999999999997,,,브라질
2021-12-01,BRA,101.4791,5.32,8.86,-3.539999999999999,,,브라질
2022-01-01,BRA,101.0242,6.08,9.25,-3.17,,,브라질
2022-02-01,BRA,100.6841,6.08,10.64,-4.5600000000000005,,,브라질
2022-03-01,BRA,100.4472,6.08,11.23,-5.15,,,브라질
2022-04-01,BRA,100.2794,6.82,11.75,-4.93,,,브라질
2022-05-01,BRA,100.1377,6.82,12.62,-5.799999999999999,,,브라질
2022-06-01,BRA,100.0126,6.82,13.0,-6.18,,,브라질
2022-07-01,BRA,99.90617,7.01,13.25,-6.24,,,브라질
2022-08-01,BRA,99.82257,7.01,13.7,-6.6899999999999995,,,브라질
2022-09-01,BRA,99.72182,7.01,13.75,-6.74,,,브라질
2022-10-01,BRA,99.57853,7.2,13.75,-6.55,,,브라질
2022-11-01,BRA,99.39456,7.2,13.75,-6.55,,,브라질
2022-12-01,BRA,99.21223,7.2,13.75,-6.55,,,브라질
2023-01-01,BRA,99.06925,7.37,13.75,-6.38,,,브라질
2023-02-01,BRA,98.99445,7.37,13.75,-6.38,,,브라질
2023-03-01,BRA,99.00362,7.37,13.75,-6.38,,,브라질
2023-04-01,BRA,99.09336,7.28,13.75,-6.47,,,브라질
2023-05-01,BRA,99.24418,7.28,13.75,-6.47,,,브라질
2023-06-01,BRA,99.42874,7.28,13.75,-6.47,,,브라질
2023-07-01,BRA,99.60444,7.0,13.75,-6.75,,,브라질
2023-08-01,BRA,99.76661,7.0,13.28,-6.279999999999999,,,브라질
2023-09-01,BRA,99.93434,7.0,13.08,-6.08,,,브라질
2023-10-01,BRA,100.1371,6.55,12.75,-6.2,,,브라질
2023-11-01,BRA,100.3869,6.55,12.27,-5.72,,,브라질
2023-12-01,BRA,100.6406,6.55,11.96,-5.410000000000001,,,브라질
2024-01-01,BRA,100.8574,6.53,11.75,-5.22,,,브라질
2024-02-01,BRA,101.0071,6.53,11.25,-4.72,,,브라질
2024-03-01,BRA,101.1075,6.53,11.07,-4.54,,,브라질
2024-04-01,BRA,101.1852,6.67,10.75,-4.08,,,브라질
2024-05-01,BRA,101.2628,6.67,10.56,-3.8900000000000006,,,브라질
2024-06-01,BRA,101.3442,6.67,10.5,-3.83,,,브라질
2024-07-01,BRA,101.4187,6.91,10.5,-3.59,,,브라질
2024-08-01,BRA,101.4431,6.91,10.5,-3.59,,,브라질
2024-09-01,BRA,101.3786,6.91,10.6,-3.6899999999999995,,,브라질
2024-10-01,BRA,101.2184,7.43,10.75,-3.3200000000000003,,,브라질
2024-11-01,BRA,100.9902,7.43,11.15,-3.7200000000000006,,,브라질
2024-12-01,BRA,100.7411,7.43,11.9,-4.470000000000001,,,브라질
