as_of,ticker,sector,benchmark,return_21,benchmark_return_21,excess_21,freq_21,magnitude_21,return_63,benchmark_return_63,excess_63,freq_63,magnitude_63,return_126,benchmark_return_126,excess_126,freq_126,magnitude_126,return_252,benchmark_return_252,excess_252,freq_252,magnitude_252,return_756,benchmark_return_756,excess_756,freq_756,magnitude_756,return_12_1,benchmark_return_12_1,excess_12_1,return_12_7,benchmark_return_12_7,excess_12_7,consistency_12m,monthly_rel_magnitude_12m,prior_drawdown_252_ex63,benchmark_prior_drawdown_252_ex63,benchmark_current_drawdown,rebound_63,benchmark_rebound_63,rank_21,rank_63,rank_126,rank_252,rank_756,rank_12_1,rank_12_7,rank_consistency_12m,rank_prior_drawdown,rank_rebound_63,bounce_flag_research,old_leader_failure_flag,rank_improvement_126_to_63
2020-10-30,VTI,us,VT,-0.027600922663156946,-0.02829370925575092,0.0006927865925939747,0.47619047619047616,4.9489238185950245e-05,0.004282371547005948,-0.0037117260944840025,0.00799409764148995,0.5396825396825397,0.00014325266203229342,0.18326809251890475,0.1780500927037978,0.005217999815106955,0.5238095238095238,4.7474622904411204e-05,0.10385763067492682,0.04912553760075866,0.05473209307416815,0.5515873015873016,0.00022273080608938695,0.3379560318231414,0.1750897449354467,0.16286628688769467,0.5370370370370371,0.00018298330015840608,0.13518991986100581,0.07967350586689381,0.055516413994112,-0.17740649302744183,-0.19427297157733103,0.016866478549889208,0.6666666666666666,0.004297341844219167,-0.3500027752054382,-0.3423621624653388,-0.06683621203807166,0.004282371547005948,-0.0037117260944840025,5,5,4,3,1,3,2,1,4,5,False,False,-1
2020-10-30,VEA,developed_ex_us,VT,-0.041079134780087734,-0.02829370925575092,-0.012785425524336813,0.38095238095238093,-0.0006387800065883834,-0.02077082732567548,-0.0037117260944840025,-0.017059101231191476,0.42857142857142855,-0.0002820043583708292,0.14148999648306138,0.1780500927037978,-0.036560096220736416,0.4523809523809524,-0.00024888252951335696,-0.046193269068214526,0.04912553760075866,-0.09531880666897319,0.40476190476190477,-0.00039455517089876356,-0.021548297994952614,0.1750897449354467,-0.19663804293039933,0.4417989417989418,-0.00025064397545270287,-0.005333218280690888,0.07967350586689381,-0.0850067241475847,-0.22304416744738098,-0.19427297157733103,-0.028771195870049948,0.3333333333333333,-0.007835332058054237,-0.3526920527972036,-0.3423621624653388,-0.06683621203807166,-0.02077082732567548,-0.0037117260944840025,6,6,6,6,5,6,6,6,3,6,False,False,0
2020-10-30,VWO,emerging_markets,VT,0.004355643023975064,-0.02829370925575092,0.032649352279725985,0.5238095238095238,0.0015566646284140416,0.02069966957266578,-0.0037117260944840025,0.024411395667149782,0.5238095238095238,0.0003826887112061959,0.2549959493394891,0.1780500927037978,0.07694585663569131,0.5396825396825397,0.000513127356903144,0.0770242925201785,0.04912553760075866,0.027898754919419844,0.5317460317460317,0.00010263929121918198,0.07076935231020198,0.1750897449354467,-0.10432039262524473,0.5119047619047619,-0.00010751188848622495,0.07235350346358227,0.07967350586689381,-0.007320002403311543,-0.19247732831665032,-0.19427297157733103,0.0017956432606807127,0.5,0.0026405387673700356,-0.335289103727644,-0.3423621624653388,-0.06683621203807166,0.02069966957266578,-0.0037117260944840025,2,4,3,4,3,4,4,4,5,4,False,False,-1
2020-10-30,VGK,europe,VT,-0.061506552290013894,-0.02829370925575092,-0.03321284303426297,0.47619047619047616,-0.0016239524480076363,-0.0626343539816907,-0.0037117260944840025,-0.0589226278872067,0.5079365079365079,-0.0009497439987116428,0.11359778362826911,0.1780500927037978,-0.06445230907552868,0.5158730158730159,-0.0004207565816402396,-0.0869007115691054,0.04912553760075866,-0.13602624916986406,0.4722222222222222,-0.0005359468047489704,-0.06524692371769292,0.1750897449354467,-0.24033666865313963,0.4656084656084656,-0.0002974713745370763,-0.027058430020002522,0.07967350586689381,-0.10673193588689633,-0.23314573076437206,-0.19427297157733103,-0.03887275918704103,0.25,-0.011398132087629298,-0.3712980662392489,-0.3423621624653388,-0.06683621203807166,-0.0626343539816907,-0.0037117260944840025,7,7,7,7,7,7,7,7,2,7,False,False,0
2020-10-30,EWJ,japan,VT,-0.014218106022905186,-0.02829370925575092,0.014075603232845735,0.47619047619047616,0.0006391370756114416,0.050504976885349384,-0.0037117260944840025,0.05421670297983339,0.47619047619047616,0.0008104215006682947,0.1601220139132904,0.1780500927037978,-0.017928078790507396,0.46825396825396826,-0.0001419920230330948,0.012312960130257178,0.04912553760075866,-0.036812577470501484,0.44047619047619047,-0.00023061238392982705,0.04931110600897548,0.1750897449354467,-0.12577863892647123,0.4708994708994709,-0.00017801398407889092,0.026913728396982473,0.07967350586689381,-0.05275977746991134,-0.1784528861733513,-0.19427297157733103,0.015820085403979722,0.4166666666666667,-0.0021646626973046423,-0.2831316510394516,-0.3423621624653388,-0.06683621203807166,0.050504976885349384,-0.0037117260944840025,3,3,5,5,4,5,3,5,6,3,False,False,2
2020-10-30,EWY,south_korea,VT,-0.016815700732113248,-0.02829370925575092,0.011478008523637673,0.47619047619047616,0.0005710960179149087,0.06445779623811898,-0.0037117260944840025,0.06816952233260298,0.6349206349206349,0.0010857211530869953,0.29360177318127123,0.1780500927037978,0.11555168047747344,0.5634920634920635,0.0007904787106102145,0.12536631025482214,0.04912553760075866,0.07624077265406348,0.5317460317460317,0.0003957571809275517,-0.053428685368786866,0.1750897449354467,-0.22851843030423358,0.48412698412698413,-0.00021300378231900392,0.14461379325606494,0.07967350586689381,0.06494028738917113,-0.20444055177287312,-0.19427297157733103,-0.010167580195542092,0.5833333333333334,0.0064266618214472715,-0.3919487240313081,-0.3423621624653388,-0.06683621203807166,0.06445779623811898,-0.0037117260944840025,4,2,2,2,6,2,5,2,1,2,False,False,0
2020-10-30,MCHI,china,VT,0.03834336184431608,-0.02829370925575092,0.066637071100067,0.5238095238095238,0.0031625781616990015,0.06553311601622358,-0.0037117260944840025,0.06924484211070758,0.5396825396825397,0.0010955695263481413,0.34732155832336664,0.1780500927037978,0.16927146561956885,0.5555555555555556,0.0011175770485005283,0.346632142091978,0.04912553760075866,0.29750660449121935,0.5436507936507936,0.0009617044581110215,0.25895695755677095,0.1750897449354467,0.08386721262132424,0.5119047619047619,0.00012960554797445051,0.2969044649161876,0.07967350586689381,0.2172309590492938,-0.018292029281599675,-0.19427297157733103,0.17598094229573136,0.5833333333333334,0.02225454379403997,-0.22750073202503973,-0.3423621624653388,-0.06683621203807166,0.06553311601622358,-0.0037117260944840025,1,1,1,1,2,1,1,2,7,1,False,False,0
2020-11-30,VTI,us,VT,0.10617363528689738,0.11255946144179974,-0.006385826154902352,0.42857142857142855,-0.00027423260410422293,0.05745621068929063,0.06842738231840517,-0.01097117162911454,0.47619047619047616,-0.00014718524727893044,0.2077934083330364,0.20021061471812018,0.007582793614916206,0.5079365079365079,6.15791125660353e-05,0.1891063798768775,0.1494466082848771,0.039659771592000403,0.5238095238095238,0.00015542611611576467,0.46005444794098715,0.29277419808898486,0.1672802498520023,0.5370370370370371,0.0001722608818210573,0.07497262811590222,0.03315521383034614,0.041817414285556076,-0.10456702282594976,-0.13424490780053555,0.02967788497458579,0.5833333333333334,0.002881447483709332,-0.3500027752054382,-0.3423621624653388,-0.011251001414866235,0.05745621068929063,0.06842738231840517,4,6,4,3,1,4,2,2,4,6,False,False,-2
2020-11-30,VEA,developed_ex_us,VT,0.13720038227623377,0.11255946144179974,0.024640920834434032,0.6666666666666666,0.0010674463956888715,0.08260343217493515,0.06842738231840517,0.014176049856529982,0.5396825396825397,0.00020659979298740986,0.17089638146423392,0.20021061471812018,-0.029314233253886268,0.49206349206349204,-0.00019437726631629836,0.07570712302854132,0.1494466082848771,-0.07373948525633578,0.4365079365079365,-0.0002775442589446236,0.1013088144839529,0.29277419808898486,-0.19146538360503196,0.4470899470899471,-0.000219771177575101,-0.054074251298268816,0.03315521383034614,-0.08722946512861496,-0.1762121383747045,-0.13424490780053555,-0.04196723057416896,0.4166666666666667,-0.005416717220535587,-0.3526920527972036,-0.3423621624653388,-0.011251001414866235,0.08260343217493515,0.06842738231840517,3,4,5,6,5,6,6,5,3,4,False,False,1
2020-11-30,VWO,emerging_markets,VT,0.07431675410795968,0.11255946144179974,-0.038242707333840054,0.38095238095238093,-0.001655677622067758,0.08675464751698314,0.06842738231840517,0.01832726519857797,0.5238095238095238,0.00026161280303242554,0.23349464711668344,0.20021061471812018,0.03328403239856326,0.5238095238095238,0.00022511764643394911,0.16337666929742767,0.1494466082848771,0.013930061012550565,0.5317460317460317,4.597996357138825e-05,0.1363078489846683,0.29277419808898486,-0.15646634910431656,0.5079365079365079,-0.00015537672040149858,0.08289912155695411,0.03315521383034614,0.04974390772660797,-0.15670853467563617,-0.13424490780053555,-0.022463626875100617,0.5,0.001489253518664968,-0.335289103727644,-0.3423621624653388,-0.011251001414866235,0.08675464751698314,0.06842738231840517,6,3,3,4,3,3,5,4,5,3,False,False,0
