state,horizon_months,n_events,mean_alpha,median_alpha,outperform_probability,q25_alpha,q75_alpha,validation,rule_note
BOUNCE,3,63,0.0004339759168092282,-0.009102548864251547,0.47619047619047616,-0.049745943524312664,0.04874628100257583,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
BOUNCE,6,63,-0.005627458304023257,-0.004756665987127651,0.4603174603174603,-0.06319604005317836,0.07420374562552262,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
BOUNCE,12,63,0.0021085156508585507,0.015509418447998469,0.5396825396825397,-0.11268218598312302,0.09101808318786941,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
CONSIDER,3,644,0.0021885108143528996,0.0024162035492117373,0.5186335403726708,-0.03213526732371058,0.03180329345967242,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
CONSIDER,6,644,0.005075277464678842,0.005351300465599618,0.5248447204968945,-0.048042624915465904,0.04813981411837423,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
CONSIDER,12,644,0.001630332286995924,-0.00271058464487417,0.4922360248447205,-0.0683973240432787,0.06526541359705301,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
DECAY,3,142,0.00069818857206607,0.0006781151365312099,0.5,-0.03367083475344407,0.031120213069333047,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
DECAY,6,142,-0.0084266167882753,-0.012452472811077586,0.4225352112676056,-0.06101087477854472,0.03257537037123287,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
DECAY,12,142,-0.013329626575244486,-0.020157076240461924,0.38028169014084506,-0.0860358443405374,0.04303779636324645,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NEUTRAL,3,1301,-0.0003867490315550221,-0.002199523258825997,0.48347425057647964,-0.037646412695425235,0.03293027767001444,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NEUTRAL,6,1301,-0.0009564573308498916,-0.006193372604031744,0.46887009992313605,-0.053719007637162086,0.045250109138521566,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NEUTRAL,12,1301,-0.002601546550714252,-0.003640125944018857,0.48501152959262106,-0.08881181174010155,0.08115618240667688,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NOISE,3,226,-0.002347613152575313,0.0006712169104076127,0.5088495575221239,-0.03721590873030978,0.03610288165932815,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NOISE,6,226,-0.005239042201226788,-0.007321773313739066,0.46017699115044247,-0.05173031292692587,0.041081044217656126,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
NOISE,12,226,-0.014580582057582371,-0.015733129897169962,0.4557522123893805,-0.0844166108257969,0.06564593463953952,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
WATCH,3,719,-0.0008438279928051703,0.00034870213474724743,0.5034770514603616,-0.032810399911662735,0.03226030682400227,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
WATCH,6,719,0.00022245833621734536,0.0023072347813011262,0.5159944367176634,-0.04762001798971571,0.048598945588837816,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
WATCH,12,719,0.004637960162524263,-0.005088421509980123,0.48817802503477054,-0.07266606070317894,0.07989965842402802,Select Sector SPDR historical ETF event study,Literature-informed fixed specification; not parameter-optimized
