Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
NVDA,NVIDIA,Information Technology,Equity,1677059864.58,5.02,"1,677,059,864.58",7356171.0,227.98,United States,NASDAQ,USD,1.00,USD,-,
AAPL,APPLE,Information Technology,Equity,1471719117.96,4.41,"1,471,719,117.96",4678362.0,314.58,United States,NASDAQ,USD,1.00,USD,-,
MSFT,MICROSOFT,Information Technology,Equity,1135088005.92,3.4,"1,135,088,005.92",2247432.0,505.06,United States,NASDAQ,USD,1.00,USD,-,
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,790107751.02,2.37,"790,107,751.02",3083227.0,256.26,United States,NASDAQ,USD,1.00,USD,-,
GOOGL,ALPHABET CLASS A,Communication,Equity,631278613.35,1.89,"631,278,613.35",1853159.0,340.65,United States,NASDAQ,USD,1.00,USD,-,
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,595796152.21,1.78,"595,796,152.21",7832000.0,76.07,Taiwan,Taiwan Stock Exchange,USD,31.68,TWD,"Nov 10, 1994",
AVGO,BROADCOM INC,Information Technology,Equity,532508590.38,1.59,"532,508,590.38",1433247.0,371.54,United States,NASDAQ,USD,1.00,USD,-,
GOOG,ALPHABET CLASS C,Communication,Equity,498074295.18,1.49,"498,074,295.18",1474858.0,337.71,United States,NASDAQ,USD,1.00,USD,-,
META,META PLATFORMS CLASS A,Communication,Equity,399604381.0,1.2,"399,604,381.00",699710.0,571.1,United States,NASDAQ,USD,1.00,USD,-,
MU,MICRON TECHNOLOGY,Information Technology,Equity,336080950.05,1.01,"336,080,950.05",359295.0,935.39,United States,NASDAQ,USD,1.00,USD,-,
TSLA,TESLA INC,Consumer Discretionary,Equity,318051329.19,0.95,"318,051,329.19",896399.0,354.81,United States,NASDAQ,USD,1.00,USD,-,
JPM,JPMORGAN CHASE & CO,Financials,Equity,302482626.8,0.91,"302,482,626.80",853940.0,354.22,United States,NYSE,USD,1.00,USD,-,
LLY,ELI LILLY,Health Care,Equity,300920474.3,0.9,"300,920,474.30",255863.0,1176.1,United States,NYSE,USD,1.00,USD,-,
005930,SAMSUNG ELECTRONICS LTD,Information Technology,Equity,285633828.77,0.86,"285,633,828.77",1482504.0,192.67,Korea (South),Korea Exchange (Stock Market),USD,"1,380.60",KRW,-,
AMD,ADVANCED MICRO DEVICES,Information Technology,Equity,247089521.22,0.74,"247,089,521.22",518366.0,476.67,United States,NASDAQ,USD,1.00,USD,-,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,222846450.3,0.67,"222,846,450.30",442419.0,503.7,United States,NYSE,USD,1.00,USD,-,
000660,SK HYNIX,Information Technology,Equity,220494176.45,0.66,"220,494,176.45",175962.0,1253.08,Korea (South),Korea Exchange (Stock Market),USD,"1,380.60",KRW,-,
ASML,ASML HOLDING,Information Technology,Equity,214042284.93,0.64,"214,042,284.93",123648.0,1731.07,Netherlands,Euronext Amsterdam,USD,0.86,EUR,-,
XOM,EXXONMOBIL HOLDINGS CORP,Energy,Equity,206971997.28,0.62,"206,971,997.28",1323012.0,156.44,United States,NYSE,USD,1.00,USD,-,
JNJ,JOHNSON & JOHNSON,Health Care,Equity,204268164.3,0.61,"204,268,164.30",768590.0,265.77,United States,NYSE,USD,1.00,USD,-,
V,VISA CLASS A,Financials,Equity,202654155.48,0.61,"202,654,155.48",533778.0,379.66,United States,NYSE,USD,1.00,USD,-,
MA,MASTERCARD CLASS A,Financials,Equity,154469341.31,0.46,"154,469,341.31",261047.0,591.73,United States,NYSE,USD,1.00,USD,-,
ABBV,ABBVIE,Health Care,Equity,145393952.25,0.44,"145,393,952.25",563215.0,258.15,United States,NYSE,USD,1.00,USD,-,
