Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,ISIN
NVDA,NVIDIA,Information Technology,Equity,73627188340.12,8.28,"73,627,188,340.12",322954594.0,227.98,United States,NASDAQ,USD,1.0,USD,-,
AAPL,APPLE,Information Technology,Equity,61607266038.36,6.93,"61,607,266,038.36",195839742.0,314.58,United States,NASDAQ,USD,1.0,USD,-,
MSFT,MICROSOFT,Information Technology,Equity,50026271789.36,5.63,"50,026,271,789.36",99050156.0,505.06,United States,NASDAQ,USD,1.0,USD,-,
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,33448400308.74,3.76,"33,448,400,308.74",130525249.0,256.26,United States,NASDAQ,USD,1.0,USD,-,
GOOGL,ALPHABET CLASS A,Communication,Equity,26633878992.9,3.0,"26,633,878,992.90",78185466.0,340.65,United States,NASDAQ,USD,1.0,USD,-,
AVGO,BROADCOM INC,Information Technology,Equity,23455907604.74,2.64,"23,455,907,604.74",63131581.0,371.54,United States,NASDAQ,USD,1.0,USD,-,
GOOG,ALPHABET CLASS C,Communication,Equity,21282914442.54,2.39,"21,282,914,442.54",63021274.0,337.71,United States,NASDAQ,USD,1.0,USD,-,
META,META PLATFORMS CLASS A,Communication,Equity,16723062135.6,1.88,"16,723,062,135.60",29282196.0,571.1,United States,NASDAQ,USD,1.0,USD,-,
MU,MICRON TECHNOLOGY,Information Technology,Equity,14066353662.84,1.58,"14,066,353,662.84",15037956.0,935.39,United States,NASDAQ,USD,1.0,USD,-,
TSLA,TESLA INC,Consumer Discretionary,Equity,13319115372.06,1.5,"13,319,115,372.06",37538726.0,354.81,United States,NASDAQ,USD,1.0,USD,-,
JPM,JPMORGAN CHASE & CO,Financials,Equity,12655806653.64,1.42,"12,655,806,653.64",35728662.0,354.22,United States,NYSE,USD,1.0,USD,-,
LLY,ELI LILLY,Health Care,Equity,12405582774.8,1.4,"12,405,582,774.80",10548068.0,1176.1,United States,NYSE,USD,1.0,USD,-,
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,12313258290.3,1.39,"12,313,258,290.30",24445619.0,503.7,United States,NYSE,USD,1.0,USD,-,
AMD,ADVANCED MICRO DEVICES,Information Technology,Equity,10363951238.01,1.17,"10,363,951,238.01",21742403.0,476.67,United States,NASDAQ,USD,1.0,USD,-,
XOM,EXXONMOBIL HOLDINGS CORP,Energy,Equity,8646138748.08,0.97,"8,646,138,748.08",55268082.0,156.44,United States,NYSE,USD,1.0,USD,-,
JNJ,JOHNSON & JOHNSON,Health Care,Equity,8530545930.75,0.96,"8,530,545,930.75",32097475.0,265.77,United States,NYSE,USD,1.0,USD,-,
V,VISA CLASS A,Financials,Equity,8402099419.74,0.95,"8,402,099,419.74",22130589.0,379.66,United States,NYSE,USD,1.0,USD,-,
MA,MASTERCARD CLASS A,Financials,Equity,6366286972.1,0.72,"6,366,286,972.10",10758770.0,591.73,United States,NYSE,USD,1.0,USD,-,
ABBV,ABBVIE,Health Care,Equity,6081568691.25,0.68,"6,081,568,691.25",23558275.0,258.15,United States,NYSE,USD,1.0,USD,-,
INTC,INTEL CORPORATION,Information Technology,Equity,6063237094.78,0.68,"6,063,237,094.78",65840342.0,92.09,United States,NASDAQ,USD,1.0,USD,-,
WMT,WALMART INC,Consumer Staples,Equity,5999368632.18,0.67,"5,999,368,632.18",58456286.0,102.63,United States,NASDAQ,USD,1.0,USD,-,
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,5906666854.0,0.66,"5,906,666,854.00",52667560.0,112.15,United States,NASDAQ,USD,1.0,USD,-,
PLTR,PALANTIR TECHNOLOGIES CLASS A,Information Technology,Equity,5692402015.62,0.64,"5,692,402,015.62",30615834.0,185.93,United States,NASDAQ,USD,1.0,USD,-,
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,5529170965.98,0.62,"5,529,170,965.98",5915703.0,934.66,United States,NASDAQ,USD,1.0,USD,-,
BAC,BANK OF AMERICA,Financials,Equity,5325171783.45,0.6,"5,325,171,783.45",87055285.0,61.17,United States,NYSE,USD,1.0,USD,-,
LRCX,LAM RESEARCH,Information Technology,Equity,5312339021.9,0.6,"5,312,339,021.90",16675055.0,318.58,United States,NASDAQ,USD,1.0,USD,-,
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,5104209553.48,0.57,"5,104,209,553.48",10581743.0,482.36,United States,NASDAQ,USD,1.0,USD,-,
CAT,CATERPILLAR INC,Industrials,Equity,5017736220.0,0.56,"5,017,736,220.00",6141660.0,817.0,United States,NYSE,USD,1.0,USD,-,
CVX,CHEVRON,Energy,Equity,4986724264.56,0.56,"4,986,724,264.56",24962328.0,199.77,United States,NYSE,USD,1.0,USD,-,
MRK,MERCK & CO INC,Health Care,Equity,4924747434.22,0.55,"4,924,747,434.22",32932643.0,149.54,United States,NYSE,USD,1.0,USD,-,
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,4783735114.45,0.54,"4,783,735,114.45",12109189.0,395.05,United States,NYSE,USD,1.0,USD,-,
GE,GE AEROSPACE,Industrials,Equity,4767882911.32,0.54,"4,767,882,911.32",13911484.0,342.73,United States,NYSE,USD,1.0,USD,-,
KO,COCA-COLA,Consumer Staples,Equity,4598358833.7,0.52,"4,598,358,833.70",51632145.0,89.06,United States,NYSE,USD,1.0,USD,-,
NFLX,NETFLIX,Communication,Equity,4482749973.12,0.5,"4,482,749,973.12",56146668.0,79.84,United States,NASDAQ,USD,1.0,USD,-,
