as_of,metric,scope,value,unit,comparison,source_url
2026-08-18,YTD total return,S&P 500 Energy,41.5,percent,Above S&P 500 Technology,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,S&P 500 Technology,24.1,percent,Second among figures highlighted,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,S&P 500 Industrials,20.8,percent,Above S&P 500,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,S&P 500 Materials,14.8,percent,Above S&P 500,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,S&P 500,14.0,percent,Cap-weight benchmark,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,S&P 500 Equal Weight,16.3,percent,Above cap-weight S&P 500,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,Russell 2000,24.1,percent,Above Nasdaq 100,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,Nasdaq 100,19.2,percent,Below Russell 2000,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,MSCI World ex USA,14.7,percent,Above S&P 500,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
2026-08-18,YTD total return,MSCI Emerging Markets,23.3,percent,Above S&P 500,https://www.fisherinvestments.com/en-us/insights/market-commentary/a-midsummer-check-in-on-global-stocks
